iter	Passed	Remaining
0	7	4902
1	9	3320
2	17	3989
3	24	4299
4	27	3819
5	29	3431
6	37	3687
7	45	3925
8	52	4035
9	59	4118
10	67	4240
11	75	4301
12	83	4415
13	90	4446
14	98	4486
15	105	4513
16	111	4472
17	118	4492
18	126	4521
19	133	4545
20	136	4401
21	144	4445
22	151	4471
23	159	4499
24	166	4506
25	174	4523
26	177	4425
27	184	4434
28	193	4469
29	200	4481
30	209	4515
31	216	4524
32	225	4551
33	232	4561
34	241	4580
35	250	4614
36	259	4651
37	267	4654
38	275	4677
39	281	4650
40	290	4675
41	298	4676
42	306	4688
43	314	4688
44	322	4692
45	330	4703
46	339	4718
47	347	4719
48	356	4733
49	364	4744
50	373	4753
51	375	4678
52	382	4675
53	385	4608
54	394	4623
55	402	4625
56	410	4635
57	419	4647
58	427	4646
59	436	4653
60	443	4650
61	452	4651
62	459	4645
63	466	4638
64	474	4635
65	476	4574
66	483	4569
67	491	4565
68	499	4566
69	507	4564
70	514	4560
71	523	4562
72	525	4512
73	533	4512
74	541	4508
75	549	4507
76	557	4507
77	564	4504
78	573	4504
79	580	4501
80	589	4502
81	597	4501
82	605	4504
83	614	4506
84	622	4504
85	631	4505
86	638	4500
87	646	4499
88	654	4494
89	662	4489
90	670	4487
91	678	4482
92	681	4446
93	688	4440
94	696	4436
95	704	4431
96	713	4433
97	721	4429
98	729	4428
99	737	4422
100	745	4420
101	752	4413
102	755	4376
103	763	4374
104	770	4366
105	778	4364
106	786	4358
107	795	4359
108	802	4353
109	811	4350
110	818	4345
111	827	4344
112	835	4338
113	843	4336
114	852	4335
115	861	4338
116	870	4338
117	879	4337
118	887	4332
119	896	4332
120	904	4326
121	912	4323
122	921	4322
123	925	4296
124	932	4289
125	940	4283
126	947	4276
127	955	4270
128	963	4265
129	971	4257
130	979	4252
131	986	4243
132	994	4239
133	1001	4231
134	1010	4228
135	1018	4222
136	1026	4220
137	1034	4214
138	1043	4212
139	1051	4206
140	1060	4205
141	1068	4198
142	1076	4193
143	1084	4186
144	1092	4179
145	1099	4170
146	1106	4162
147	1113	4153
148	1121	4146
149	1129	4139
150	1138	4138
151	1146	4133
152	1155	4130
153	1163	4123
154	1171	4119
155	1179	4111
156	1187	4107
157	1195	4099
158	1203	4094
159	1211	4088
160	1219	4083
161	1227	4076
162	1235	4070
163	1243	4062
164	1245	4039
165	1254	4035
166	1261	4026
167	1269	4021
168	1277	4013
169	1279	3989
170	1288	3984
171	1295	3977
172	1304	3972
173	1311	3965
174	1320	3961
175	1328	3953
176	1336	3949
177	1344	3941
178	1353	3938
179	1360	3930
180	1369	3927
181	1377	3919
182	1385	3915
183	1393	3907
184	1404	3910
185	1412	3904
186	1420	3897
187	1430	3895
188	1432	3872
189	1439	3864
190	1448	3861
191	1456	3853
192	1465	3850
193	1473	3843
194	1482	3839
195	1489	3831
196	1498	3827
197	1507	3821
198	1515	3816
199	1518	3796
200	1526	3788
201	1534	3783
202	1542	3776
203	1550	3769
204	1557	3761
205	1566	3756
206	1573	3748
207	1581	3741
208	1589	3733
209	1597	3727
210	1604	3719
211	1612	3712
212	1619	3703
213	1627	3696
214	1635	3688
215	1643	3681
216	1650	3672
217	1657	3665
218	1665	3657
219	1672	3648
220	1679	3640
221	1687	3632
222	1695	3625
223	1702	3617
224	1710	3610
225	1717	3602
226	1725	3596
227	1733	3587
228	1740	3580
229	1748	3573
230	1756	3565
231	1763	3557
232	1770	3549
233	1778	3541
234	1785	3533
235	1793	3526
236	1800	3517
237	1808	3510
238	1815	3501
239	1823	3494
240	1830	3486
241	1838	3480
242	1846	3472
243	1854	3464
244	1861	3456
245	1868	3448
246	1876	3440
247	1883	3432
248	1891	3425
249	1898	3417
250	1905	3409
251	1912	3400
252	1921	3394
253	1928	3385
254	1938	3383
255	1947	3377
256	1957	3374
257	1966	3369
258	1977	3367
259	1990	3367
260	2000	3365
261	2010	3360
262	2020	3357
263	2028	3350
264	2037	3345
265	2046	3338
266	2057	3336
267	2072	3341
268	2083	3337
269	2097	3341
270	2117	3351
271	2128	3349
272	2149	3362
273	2161	3360
274	2174	3360
275	2186	3358
276	2200	3360
277	2214	3361
278	2224	3357
279	2237	3356
280	2249	3354
281	2260	3351
282	2264	3336
283	2273	3330
284	2284	3326
285	2295	3323
286	2305	3317
287	2316	3314
288	2328	3311
289	2338	3306
290	2349	3301
291	2359	3296
292	2369	3290
293	2378	3284
294	2387	3277
295	2396	3270
296	2404	3262
297	2413	3256
298	2424	3251
299	2434	3245
300	2443	3239
301	2452	3231
302	2461	3224
303	2463	3208
304	2471	3200
305	2479	3193
306	2487	3184
307	2495	3176
308	2503	3168
309	2511	3160
310	2519	3151
311	2528	3144
312	2538	3138
313	2546	3130
314	2556	3124
315	2565	3117
316	2575	3111
317	2584	3104
318	2593	3097
319	2606	3095
320	2616	3089
321	2627	3084
322	2637	3078
323	2647	3072
324	2657	3066
325	2666	3059
326	2676	3053
327	2689	3050
328	2701	3046
329	2718	3047
330	2731	3045
331	2745	3042
332	2757	3038
333	2803	3071
334	2840	3095
335	2859	3097
336	2880	3103
337	2897	3103
338	2925	3114
339	2939	3112
340	2943	3098
341	2958	3096
342	2971	3092
343	2988	3092
344	3005	3092
345	3028	3098
